,League,Avg_G_Scored_Home_Teams_HT,Avg_G_Conceded_Home_Teams_HT,Avg_G_Scored_Away_Teams_HT,Avg_G_Conceded_Away_Teams_HT,Win_Home_Teams_HT_perc,Draw_HT_perc,Win_Away_Teams_HT_perc,Avg_G_Scored_Home_Teams,Avg_G_Conceded_Home_Teams,Avg_G_Scored_Away_Teams,Avg_G_Conceded_Away_Teams,Win_Home_Teams_perc,Draw_perc,Win_Away_Teams_perc
82,Saudi Arabia Professional League,0.68,0.57,0.57,0.68,33.75,40.23,26.02,1.55,1.33,1.33,1.55,44.25,22.56,33.19
83,Scotland Championship,0.65,0.53,0.53,0.65,32.63,41.39,25.98,1.42,1.22,1.22,1.42,40.86,27.34,31.8
84,Scotland Premiership,0.68,0.53,0.53,0.68,34.83,39.47,25.7,1.49,1.18,1.18,1.49,44.06,23.75,32.19
85,Serbia Prva Liga,0.57,0.38,0.38,0.57,31.62,49.03,19.35,1.32,0.94,0.94,1.32,45.45,28.18,26.36
86,Serbia SuperLiga,0.7,0.54,0.54,0.7,34.39,41.05,24.55,1.5,1.17,1.17,1.5,46.38,22.29,31.33
87,Singapore S.League,0.9,0.85,0.85,0.9,37.6,29.07,33.33,2.09,1.95,1.95,2.09,41.67,20.74,37.6
88,Slovakia Super Liga,0.67,0.54,0.54,0.67,33.41,42.5,24.09,1.52,1.24,1.24,1.52,43.98,24.77,31.25
89,Slovenia PrvaLiga,0.6,0.58,0.58,0.6,30.34,41.81,27.85,1.42,1.26,1.26,1.42,40.66,26.69,32.65
90,South Africa Premier Soccer League,0.53,0.42,0.42,0.53,29.02,49.47,21.5,1.17,0.94,0.94,1.17,39.84,32.39,27.77
91,South America Copa Libertadores,0.67,0.42,0.42,0.67,36.2,43.83,19.96,1.55,0.92,0.92,1.55,50.75,24.93,24.31
92,South Korea K League 1,0.52,0.46,0.46,0.52,27.36,49.37,23.28,1.35,1.2,1.2,1.35,39.94,27.99,32.07
93,South Korea K League 2,0.55,0.49,0.49,0.55,28.63,47.43,23.94,1.32,1.24,1.24,1.32,37.38,27.86,34.77
94,Spain La Liga,0.64,0.48,0.48,0.64,32.8,44.52,22.68,1.45,1.11,1.11,1.45,44.82,26.73,28.44
95,Spain Primera Division RFEF Group 1,0.58,0.37,0.37,0.58,33.74,47.43,18.83,1.33,0.96,0.96,1.33,43.36,30.62,26.02
96,Spain Primera Division RFEF Group 2,0.57,0.4,0.4,0.57,30.68,49.23,20.08,1.33,1.01,1.01,1.33,42.68,30.54,26.78
97,Spain Segunda División,0.58,0.38,0.38,0.58,33.59,46.89,19.52,1.3,0.95,0.95,1.3,44.45,30.62,24.93
98,Spain Segunda División RFEF Group 2,0.86,0.86,0.86,0.86,14.29,71.43,14.29,1.43,1.14,1.14,1.43,42.86,28.57,28.57
99,Spain Segunda División RFEF Group 3,0.5,0.5,0.5,0.5,0.0,100.0,0.0,1.5,1.0,1.0,1.5,50.0,50.0,0.0
100,Spain Segunda División RFEF Group 4,0.0,2.0,2.0,0.0,0.0,0.0,100.0,3.0,3.0,3.0,3.0,0.0,100.0,0.0
101,Spain Segunda División RFEF Group 5,0.59,0.44,0.44,0.59,30.69,46.57,22.74,1.39,1.01,1.01,1.39,48.01,24.55,27.44
102,Sweden Allsvenskan,0.69,0.53,0.53,0.69,34.02,41.26,24.73,1.53,1.22,1.22,1.53,44.01,24.15,31.84
103,Sweden Damallsvenskan,0.75,0.58,0.58,0.75,36.28,36.5,27.21,1.6,1.28,1.28,1.6,47.23,19.14,33.63
104,Sweden Superettan,0.67,0.53,0.53,0.67,33.6,41.45,24.95,1.51,1.21,1.21,1.51,43.61,26.92,29.47
105,Switzerland Challenge League,0.75,0.57,0.57,0.75,37.32,36.82,25.86,1.68,1.37,1.37,1.68,44.14,25.11,30.75
106,Switzerland Super League,0.72,0.6,0.6,0.72,33.74,38.08,28.18,1.65,1.32,1.32,1.65,43.72,27.04,29.25
107,Taiwan Taiwan Football Premier League,0.67,0.66,0.66,0.67,30.32,39.82,29.86,1.56,1.47,1.47,1.56,40.72,16.74,42.53
108,Thailand Thai League T1,0.7,0.51,0.51,0.7,37.26,39.07,23.67,1.66,1.19,1.19,1.66,47.66,26.33,26.01
109,Tunisia Ligue 1,0.55,0.36,0.36,0.55,33.17,48.66,18.16,1.19,0.81,0.81,1.19,46.18,29.45,24.38
110,Turkey 1. Lig,0.6,0.51,0.51,0.6,30.89,43.52,25.59,1.41,1.17,1.17,1.41,44.08,25.13,30.8
111,Turkey Süper Lig,0.7,0.54,0.54,0.7,35.46,39.87,24.67,1.59,1.24,1.24,1.59,44.75,26.12,29.12
112,UAE Arabian Gulf League,0.74,0.67,0.67,0.74,32.84,37.67,29.49,1.64,1.49,1.49,1.64,41.62,23.67,34.71
113,USA MLS,0.76,0.54,0.54,0.76,37.09,39.81,23.11,1.69,1.22,1.22,1.69,47.72,25.49,26.79
114,USA MLS Next Pro,0.85,0.68,0.68,0.85,37.37,37.2,25.43,1.94,1.63,1.63,1.94,44.2,22.7,33.11
115,USA USL Championship,0.76,0.57,0.57,0.76,36.21,39.42,24.37,1.6,1.23,1.23,1.6,45.63,23.28,31.09
116,Ukraine Ukrainian Premier League,0.58,0.52,0.52,0.58,30.88,41.06,28.06,1.34,1.18,1.18,1.34,41.06,24.92,34.02
117,Uruguay Primera División,0.57,0.48,0.48,0.57,31.41,44.52,24.08,1.29,1.14,1.14,1.29,38.68,28.64,32.68
118,Uzbekistan Uzbekistan Super League,0.53,0.45,0.45,0.53,28.56,49.94,21.5,1.31,1.08,1.08,1.31,41.66,27.66,30.68
119,Vietnam V.League 1,0.59,0.56,0.56,0.59,27.65,45.29,27.06,1.43,1.16,1.16,1.43,41.47,31.47,27.06
120,Wales Welsh Premier League,0.75,0.6,0.6,0.75,35.68,38.11,26.21,1.63,1.41,1.41,1.63,44.64,20.52,34.84
